Questions,Answers for Google (from 1 min to 5 max),Answers for Bing (from 1 min to 5 max),Answers for Yahoo (from 1 min to 5 max)
"Does the documentation explain how ""ranking"" is defined/define ""ranking""?,",1,1,1
"Does the documentation explain how ""main parameter used for ranking"" is defined/define ""main parameter used for ranking""?,",1,1,1
"Does the documentation provide the main parameters used for determining ranking?,",4,5,2
"Does the documentation provide the relative importance of the different main parameters used in determining ranking?,",3,4,1
"Does the documentation explain how the ranking mechanism considers the characteristics of the goods and services offered to consumers?,",2,5 + not applicable,1
"Does the documentation explain the extent to which the ranking mechanism considers the characteristics of the goods and services offered to consumers?,",2,5 + not applicable,1
"Does the documentation explain how the ranking mechanism considers the relevance of the characteristics of the goods and services, for consumers?,",2,5 + not applicable,1
"Does the documentation explain the extent to which the ranking mechanism considers the relevance of the characteristics of the goods and services, for consumers?,",2,5 + not applicable,1
"Does the documentation explain how the ranking mechanism considers the design characteristics of the websites?,",4,4,2
"Does the documentation explain the extent to which the ranking mechanism considers the design characteristics of the websites?,",3,4,2
"Does the documentation explain the possibilities to influence ranking against direct or indirect payment (if any)?,",1,4,1
"Does the documentation explain the effects of payments, on ranking (if any)?,",1,4,1
"Does the documentation explain how the ranking mechanism works and, in particular, what the main parameters used are?,",3,3,2
"Does the documentation explain what is most important in determining ranking?,",3,4,2
"Does the documentation explain why specific parameters were selected as the main factors in determining the ranking of goods or services?,",3,5 + not applicable,1
"Does the documentation explain the internal process conducted by the provider to determine the main parameters for the ranking of goods or services?,",2,5 + not applicable,1
"Does the documentation explain how users can improve the ranking of their goods or services?,",3,3,3
"Does the documentation explain how users can alter the ranking of their products or services through direct or indirect payments to the provider, and what effect this has?,",1,4,1
"Does the documentation explain what the business logic behind allowing users to affect the ranking of their products or services through payments is, and what the potential consequences of this are?,",1,4,1
